Time stamp(ms),Ax,Ay,Az,Gx,Gy,Gz,pitch,roll
6185,-0.0922,-0.0551,0.9677,1.77,0.7324,0.9155,-2.982465839,-2.417147335
6185,-0.0927,-0.0551,0.9687,1.77,0.6713,0.7324,-2.985191383,-2.414430927
6192,-0.0952,-0.0517,0.9702,1.77,0.6103,0.7934,-3.029629537,-2.370001894
6192,-0.0932,-0.0551,0.9707,1.77,0.6713,0.7934,-2.987895287,-2.411727023
6192,-0.0947,-0.0576,0.9692,1.831,0.7324,0.7934,-2.973529344,-2.426074708
6195,-0.0957,-0.0551,0.9677,1.9531,0.6103,0.7324,-3.001070686,-2.398533366
6195,-0.0952,-0.061,0.9702,1.77,0.5493,0.8544,-2.946728953,-2.4529116
6195,-0.0957,-0.0546,0.9716,1.892,0.6713,0.8544,-3.005586428,-2.394017638
6202,-0.0937,-0.0541,0.9697,1.831,0.6103,0.7324,-2.999698274,-2.399924036
6202,-0.0961,-0.0546,0.9692,1.892,0.7324,0.8544,-3.007641516,-2.391953414
6202,-0.0932,-0.0576,0.9672,1.892,0.7324,0.7934,-2.965367485,-2.434227445
6205,-0.0942,-0.0561,0.9682,1.77,0.6103,0.7934,-2.98421735,-2.415414081
6205,-0.0966,-0.0551,0.9707,1.77,0.5493,0.9765,-3.005725313,-2.39391524
6205,-0.0957,-0.0551,0.9687,1.77,0.6713,0.8544,-3.001098066,-2.398524244
6212,-0.0922,-0.0541,0.9687,1.831,0.6103,0.9155,-2.991658354,-2.407963956
6212,-0.0932,-0.0556,0.9687,1.7089,0.7324,0.7934,-2.983359728,-2.416262581
6212,-0.0937,-0.0541,0.9682,1.831,0.6713,0.8544,-2.999698274,-2.399914915
6215,-0.0947,-0.0541,0.9687,1.9531,0.6713,0.7324,-3.004933609,-2.394661321
6215,-0.0942,-0.0532,0.9692,1.892,0.7324,0.7934,-3.010593179,-2.389001751
6215,-0.0986,-0.0556,0.9702,1.77,0.7324,0.7934,-3.011360016,-2.388253158
6222,-0.0942,-0.0512,0.9711,1.831,0.6103,0.7934,-3.029215914,-2.370406396
6222,-0.0976,-0.0551,0.9687,1.892,0.8544,0.7324,-3.010772741,-2.388803945
6222,-0.0957,-0.0585,0.9682,1.831,0.8544,0.7324,-2.970982647,-2.428603161
6225,-0.0947,-0.0537,0.9687,1.831,0.7934,0.8544,-3.008607732,-2.390987198
6225,-0.0966,-0.0522,0.9707,1.77,0.6103,0.8544,-3.03201672,-2.367614712
6225,-0.0971,-0.0551,0.9687,1.831,0.6103,0.8544,-3.008258893,-2.391363417
6232,-0.0986,-0.0546,0.9716,1.831,0.4272,0.7324,-3.020207082,-2.379442608
6232,-0.0966,-0.0556,0.9677,1.831,0.6103,0.7934,-3.001250941,-2.398371369
6232,-0.0942,-0.0566,0.9716,1.892,0.5493,0.7934,-2.979719675,-2.419902634
6235,-0.0947,-0.0556,0.9692,1.892,0.6103,0.7934,-2.991351512,-2.408261677
6235,-0.0937,-0.0561,0.9672,1.892,0.7324,0.7934,-2.981514668,-2.418080262
6235,-0.0952,-0.0532,0.9677,1.831,0.7324,0.7934,-3.015769426,-2.383834626
6242,-0.0952,-0.0595,0.9702,1.892,0.6103,0.8544,-2.959602492,-2.440010696
6242,-0.0966,-0.0571,0.9692,1.77,0.6713,0.7934,-2.987983947,-2.411638363
6242,-0.0927,-0.0546,0.9677,1.831,0.7324,0.7934,-2.989760258,-2.409843793
6245,-0.0966,-0.0561,0.9677,1.77,0.6103,0.7934,-2.996814752,-2.402816679
6245,-0.0976,-0.0546,0.9692,1.892,0.6103,0.7934,-3.015234149,-2.384379039
6245,-0.0942,-0.0556,0.9687,1.892,0.5493,0.7934,-2.988699492,-2.410922818
6252,-0.0932,-0.0556,0.9702,1.892,0.6103,0.7934,-2.983332348,-2.41628084
6252,-0.0966,-0.0541,0.9682,1.831,0.6713,0.7934,-3.014706501,-2.384906687
6252,-0.0942,-0.0566,0.9692,1.831,0.5493,0.8544,-2.979728797,-2.419902634
6255,-0.0971,-0.0556,0.9692,1.892,0.5493,0.7934,-3.003796207,-2.395826103
6255,-0.0937,-0.0551,0.9711,1.77,0.5493,0.7934,-2.990577779,-2.409062774
6255,-0.0947,-0.0537,0.9682,1.892,0.4882,0.7934,-3.00859861,-2.391032836
6262,-0.0966,-0.0561,0.9707,1.892,0.5493,0.7934,-2.996796509,-2.402825801
6262,-0.0927,-0.0541,0.9687,1.892,0.4882,0.7934,-2.994350781,-2.405280666
6262,-0.0957,-0.0541,0.9687,2.0141,0.5493,0.7934,-3.010095091,-2.389508961
6265,-0.0957,-0.0561,0.9667,2.0141,0.3662,0.8544,-2.992109301,-2.40752213
6265,-0.0957,-0.0566,0.9702,1.831,0.3662,0.7934,-2.987691022,-2.41196779
6265,-0.0947,-0.0556,0.9682,1.9531,0.3051,0.8544,-2.991342375,-2.408307315
6272,-0.0947,-0.0556,0.9687,2.0141,0.2441,0.7324,-2.991333253,-2.408316437
6272,-0.0932,-0.0561,0.9697,2.1362,0.061,0.7324,-2.97877254,-2.420886271
6272,-0.0937,-0.0556,0.9677,2.3803,-0.1831,0.6713,-2.985953493,-2.413705319
6275,-0.0981,-0.0556,0.9624,2.9296,-0.5493,0.7934,-3.008690822,-2.390940609
6275,-0.0903,-0.0468,0.998,13.977,-8.5449,0.7324,-3.049973558,-2.349201519
6275,-0.0927,-0.0512,0.9731,9.2773,-5.7373,0.6713,-3.02035128,-2.379106735
